,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
43,44,Female,31,39,61
46,47,Female,50,40,55
47,48,Female,27,40,47
48,49,Female,29,40,42
49,50,Female,31,40,42
50,51,Female,49,42,52
51,52,Male,33,42,60
52,53,Female,31,43,54
53,54,Male,59,43,60
54,55,Female,50,43,45
55,56,Male,47,43,41
56,57,Female,51,44,50
57,58,Male,69,44,46
58,59,Female,27,46,51
59,60,Male,53,46,46
60,61,Male,70,46,56
61,62,Male,19,46,55
62,63,Female,67,47,52
63,64,Female,54,47,59
64,65,Male,63,48,51
65,66,Male,18,48,59
66,67,Female,43,48,50
67,68,Female,68,48,48
68,69,Male,19,48,59
69,70,Female,32,48,47
70,71,Male,70,49,55
71,72,Female,47,49,42
72,73,Female,60,50,49
73,74,Female,60,50,56
74,75,Male,59,54,47
75,76,Male,26,54,54
76,77,Female,45,54,53
77,78,Male,40,54,48
78,79,Female,23,54,52
79,80,Female,49,54,42
80,81,Male,57,54,51
81,82,Male,38,54,55
82,83,Male,67,54,41
83,84,Female,46,54,44
84,85,Female,21,54,57
85,86,Male,48,54,46
86,87,Female,55,57,58
87,88,Female,22,57,55
88,89,Female,34,58,60
89,90,Female,50,58,46
90,91,Female,68,59,55
91,92,Male,18,59,41
92,93,Male,48,60,49
93,94,Female,40,60,40
94,95,Female,32,60,42
95,96,Male,24,60,52
96,97,Female,47,60,47
97,98,Female,27,60,50
98,99,Male,48,61,42
99,100,Male,20,61,49
100,101,Female,23,62,41
101,102,Female,49,62,48
102,103,Male,67,62,59
103,104,Male,26,62,55
104,105,Male,49,62,56
105,106,Female,21,62,42
106,107,Female,66,63,50
107,108,Male,54,63,46
108,109,Male,68,63,43
109,110,Male,66,63,48
110,111,Male,65,63,52
111,112,Female,19,63,54
112,113,Female,38,64,42
113,114,Male,19,64,46
114,115,Female,18,65,48
115,116,Female,19,65,50
116,117,Female,63,65,43
117,118,Female,49,65,59
118,119,Female,51,67,43
119,120,Female,50,67,57
120,121,Male,27,67,56
121,122,Female,38,67,40
122,123,Female,40,69,58
126,127,Male,43,71,35
132,133,Female,25,72,34
142,143,Female,28,76,40
